"Zip_Code","Zip_Code_Sq_Mi","Supervisor_District","District","Sq_in_SD","Proportion_in_SD","Median_HH_Income_ZCTA","Per_Capita_Income_ZCTA","Population_in_SD1","Latinx_in_SD1","Black_in_SD1","Asian_in_SD1","Amer_Ind_in_SD1","Pac_Islander_in_SD1","Other_in_SD1","White_in_SD1","Native_Born_in_SD1","Immi_Citizen_in_SD1","Immi_NonCitizen_in_SD1","Housing_Units_in_SD1","Owner_Units_in_SD1","Renter_Units_in_SD1","Rent_Burden_in_SD1","Severe_Rent_Burden_in_SD1","Pop_25_n_older_SD1","Less_than_HS_SD1","HS_Diploma_SD1","Bachelors_or_Higher_SD1","Poor_or_Struggling_SD1","Doing_Okay_SD1"
"90089",0.28457,"District 1","1",0.0221707,0.0779095,NA,7447,295,"0.15","0.07","0.31","0.00","0.01","0.01","0.43","0.79","0.04","0.13",1,"0.00","0.70","0.00","1.00",3,"0.00","0.52","0.39","0.01","0.00"
"90079",0.00988561,"District 1","1",0.00988561,1,NA,NA,0,"NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN",0,"NaN","NaN","NaN","NaN",0,"NaN","NaN","NaN","NaN","NaN"
"90029",1.35664,"District 1","1",0.144592,0.106581,41998,25449,3908,"0.53","0.03","0.17","0.00","0.00","0.00","0.25","0.49","0.24","0.27",1492,"0.10","0.90","0.27","0.31",2976,"0.26","0.44","0.30","0.49","0.50"
"90017",0.758176,"District 1","1",0.758176,1,35605,27359,27723,"0.62","0.08","0.17","0.00","0.00","0.00","0.11","0.48","0.14","0.37",11510,"0.04","0.96","0.28","0.28",18995,"0.36","0.32","0.32","0.64","0.36"
"90014",0.294805,"District 1","1",0.159733,0.541826,40641,46007,4707,"0.15","0.23","0.19","0.00","0.00","0.01","0.38","0.71","0.15","0.11",3058,"0.03","0.97","0.28","0.19",4361,"0.14","0.42","0.44","0.50","0.49"
"90022",4.38914,"District 1","1",4.38914,1,46051,16949,67014,"0.96","0.00","0.01","0.00","0.00","0.00","0.02","0.59","0.15","0.25",17603,"0.33","0.67","0.27","0.28",41980,"0.46","0.45","0.09","0.50","0.50"
"90006",1.91765,"District 1","1",0.326815,0.170425,37072,17791,10153,"0.73","0.03","0.18","0.00","0.00","0.00","0.05","0.42","0.17","0.39",3296,"0.09","0.91","0.29","0.31",6943,"0.42","0.39","0.19","0.61","0.38"
"90021",2.09996,"District 1","1",1.08326,0.515848,21635,35141,1519,"0.48","0.18","0.06","0.01","0.00","0.01","0.25","0.66","0.11","0.23",894,"0.09","0.91","0.28","0.19",1261,"0.33","0.38","0.30","0.53","0.47"
"91702",170.697,"District 1","1",9.957,0.0583314,68852,22666,3620,"0.67","0.03","0.11","0.00","0.00","0.00","0.17","0.69","0.15","0.14",904,"0.58","0.42","0.25","0.28",2163,"0.22","0.57","0.21","0.33","0.58"
"90057",0.898025,"District 1","1",0.768203,0.855436,37700,18216,42902,"0.70","0.04","0.18","0.00","0.00","0.00","0.07","0.42","0.15","0.43",14797,"0.04","0.96","0.29","0.27",29117,"0.43","0.37","0.20","0.60","0.38"
"91766",10.1814,"District 1","1",9.7594,0.958552,59819,20685,69349,"0.75","0.04","0.13","0.00","0.00","0.00","0.07","0.61","0.17","0.21",17241,"0.52","0.48","0.32","0.29",42261,"0.35","0.47","0.18","0.46","0.53"
"91745",12.7946,"District 1","1",1.39336,0.108902,85975,33789,6012,"0.46","0.01","0.40","0.00","0.00","0.00","0.12","0.58","0.29","0.11",1778,"0.75","0.25","0.21","0.31",4326,"0.14","0.52","0.34","0.24","0.76"
"90071",0.121589,"District 1","1",0.121589,1,61875,72511,126,"0.11","0.25","0.32","0.00","0.00","0.00","0.32","0.53","0.00","0.47",119,"0.06","0.94","0.27","0.00",126,"0.04","0.56","0.40","0.04","0.96"
"91731",3.87672,"District 1","1",3.86966,0.998179,42293,16913,30167,"0.64","0.00","0.29","0.00","0.01","0.00","0.05","0.50","0.25","0.24",8248,"0.36","0.64","0.29","0.38",19680,"0.41","0.47","0.12","0.52","0.47"
"90270",1.29643,"District 1","1",1.29643,1,44124,15567,27287,"0.98","0.00","0.00","0.00","0.00","0.00","0.01","0.53","0.15","0.31",6684,"0.26","0.74","0.29","0.31",16459,"0.50","0.44","0.06","0.51","0.48"
"90031",3.51441,"District 1","1",3.51441,1,48479,22620,39916,"0.66","0.02","0.23","0.00","0.00","0.00","0.08","0.55","0.22","0.22",11739,"0.32","0.68","0.26","0.30",27122,"0.39","0.39","0.22","0.51","0.48"
"91767",5.64615,"District 1","1",5.62712,0.99663,62153,23170,50435,"0.68","0.07","0.08","0.00","0.00","0.00","0.15","0.68","0.14","0.17",14018,"0.53","0.47","0.26","0.31",32045,"0.26","0.55","0.19","0.40","0.59"
